股票代號,股票名稱,資料時間,9K,9D,5T_RSI,備註
1256,鮮活果汁-KY,2026-06-03 13:00,4.74,10.64,19.92,無
1435,中福,2026-04-28 13:00,11.42,22.2,19.8,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
1589,永冠-KY,2026-04-02 13:00,3.05,8.71,14.5,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
2233,宇隆,2026-06-03 13:00,13.33,18.85,17.64,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
2303,聯電,2026-06-03 13:00,6.61,13.42,14.91,無
2367,燿華,2026-06-03 13:00,13.48,19.2,18.84,無
2388,威盛,2026-06-03 13:00,9.67,15.85,17.12,⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
2464,盟立,2026-06-03 13:00,9.39,16.11,18.25,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
2548,華固,2026-06-03 13:00,7.53,9.96,17.81,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
3229,晟鈦,2026-06-03 13:00,13.31,21.12,18.79,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
4576,大銀微系統,2026-06-03 13:00,5.96,8.94,18.22,無
4770,上品,2026-06-03 13:00,7.49,10.65,15.62,⚠️近10T KD死亡交叉
4989,榮科,2026-06-03 13:00,7.58,13.29,9.72,無
6426,統新,2026-06-03 13:00,16.36,24.02,14.73,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
8150,南茂,2026-06-03 13:00,4.59,9.01,16.02,無
7730,暉盛-創,2026-06-03 13:00,8.39,11.17,19.97,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
2070O,未知,2026-06-03 13:00,8.32,10.04,10.25,無
2724O,未知,2026-06-03 12:00,13.83,30.03,7.12,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
3191O,未知,2026-06-03 13:00,2.23,4.37,14.22,無
3205O,未知,2026-06-03 13:00,7.53,12.94,12.12,無
